id,industry,question,prompt
SAAS_1,saas,SaaS核心指标与单位经济,你是一名偏买方风格的股票研究员。请基于截至 {date} 的公开信息，深度分析 {company}（{ticker}）作为 SaaS / 软件公司的核心指标与单位经济。重点回答：1）收入结构（订阅、服务、按量计费、永久授权转订阅等）；2）ARR、RPO、递延收入、NRR/DBNRR、客户数、ARPU、流失率、续费率、销售效率（CAC、CAC payback、Magic Number 等，如缺失请给替代指标）；3）增长来自新客户、老客户扩容、提价、产品组合还是并购；4）增长是否具有高质量，是否建立在高补贴、高销售费用或低质量合同之上；5）Rule of 40、毛利率、经营利润率、自由现金流率之间是否互相印证。输出请按“收入模型 / 核心KPI / 增长质量 / 单位经济判断 / 需要持续跟踪的数据点”组织，并明确区分事实、推断与不确定项。
SAAS_2,saas,SaaS产品力、平台化与护城河,请基于截至 {date} 的公开信息，分析 {company}（{ticker}）作为 SaaS / 软件公司的产品力与护城河。重点回答：1）其产品解决了什么高频或高价值问题，客户是否“必须使用”；2）产品是否处于系统记录（system of record）、系统执行（system of action）还是辅助工具层；3）切换成本来自数据沉淀、工作流嵌入、生态集成、开发者生态、合规要求还是品牌心智；4）公司是否存在平台化、产品套件化、向上向下游扩展的能力；5）AI 功能/自动化能力是增强护城河，还是会削弱原有定价权。请按“产品定位 / 客户粘性 / 护城河来源 / 平台化潜力 / 风险与反证”输出。
SAAS_3,saas,SaaS财务质量与股份支付稀释,请作为重视财务质量的研究员，分析 {company}（{ticker}）作为 SaaS / 软件公司的财务质量。重点关注：1）高毛利是否真正转化为经营利润和自由现金流；2）股份支付（SBC）是否过高，是否掩盖真实盈利能力；3）资本化研发、并购摊销、重组费用、一次性项目是否扭曲利润；4）经营现金流改善是因为业务质量提升，还是营运资本时点因素；5）递延收入、RPO、合同期限变化是否在提前透支增长。请按“利润质量 / 现金流质量 / 稀释与会计口径 / 红旗信号 / 结论”输出。
SAAS_4,saas,SaaS市场关注点与近期催化剂,请结合联网搜索，分析截至 {date} 市场在交易 {company}（{ticker}）这家 SaaS / 软件公司的什么叙事。重点梳理：1）市场当前最关注的是新签放缓、续费率、AI 变现、利润率扩张、国际化还是并购整合；2）最近 6 个月的重要财报、产品发布、管理层表态与资本配置动作；3）未来 2 到 4 个季度最重要的催化剂；4）哪些乐观或悲观预期可能已经被估值定价；5）哪些指标最容易引发预期修正。请按“当前交易逻辑 / 已定价内容 / 催化剂地图 / 最关键验证指标 / 结论”输出。
SAAS_5,saas,SaaS估值框架与重估条件,请基于截至 {date} 的公开信息，对 {company}（{ticker}）这家 SaaS / 软件公司进行估值分析。要求：1）优先使用 EV/Sales、EV/FCF、PE（如适用）以及 Rule of 40、增长-利润率组合进行横向比较；2）解释市场为什么给当前倍数，而不是只报静态估值；3）判断公司更接近高增长高投入型、优质复利型，还是成熟现金牛型 SaaS；4）构建保守 / 基准 / 乐观三种情景，说明收入增速、利润率、自由现金流率和估值倍数如何变化；5）指出估值重估向上或向下最关键的触发条件。请按“估值框架 / 当前倍数含义 / 三种情景 / 重估触发条件 / 结论”输出。
SAAS_6,saas,SaaS多空分歧与证伪清单,请以投资备忘录形式，总结 {company}（{ticker}）这家 SaaS / 软件公司当前最核心的多空分歧，并生成证伪清单。要求：1）多头最看重的变量是什么；2）空头最担心的变量是什么；3）哪些经营指标或管理层表态会支持多头、哪些会支持空头；4）接下来两个季度最值得验证的 5 个问题；5）如果判断错了，最可能错在哪里。请按“多头论点 / 空头论点 / 证伪指标 / 未来两季检查点 / 一句话结论”输出。
CONSUMER_1,consumer,消费公司品牌力与需求韧性,请基于截至 {date} 的公开信息，分析 {company}（{ticker}）作为消费品牌 / 零售 / 可选消费公司的品牌力与需求韧性。重点回答：1）公司卖的到底是功能、品牌、情绪价值还是渠道效率；2）目标客群是谁，消费频次和复购逻辑如何；3）品牌心智、产品力、渠道力、供应链能力哪个最重要；4）公司是否具有提价权，提价是否会损害销量；5）需求是结构性增长、周期性繁荣，还是短期爆品驱动。请按“需求本质 / 品牌与产品力 / 提价与销量关系 / 需求韧性判断 / 风险与反证”输出。
CONSUMER_2,consumer,消费公司渠道、库存与动销质量,请基于截至 {date} 的公开信息，分析 {company}（{ticker}）作为消费公司在渠道、库存和终端动销方面的质量。重点关注：1）直营、加盟、经销、电商、批发等渠道结构；2）收入增长是 sell-in 还是 sell-out 驱动；3）库存、渠道库存、折扣水平、退货率、促销强度是否健康；4）同店销售、坪效、门店扩张质量、单店模型是否可复制；5）若公司进行海外扩张，复制路径与本地化难点是什么。请按“渠道结构 / 动销质量 / 库存与折扣 / 单店模型 / 结论”输出。
CONSUMER_3,consumer,消费公司毛利率、营销投放与利润质量,请作为重视经营质量的研究员，分析 {company}（{ticker}）作为消费公司的利润质量。重点关注：1）毛利率变化来自提价、原材料、产品结构还是促销强度变化；2）营销费用与品牌投入是长期建设，还是短期换增长；3）经营利润率改善是否可持续；4）经营现金流、存货、预付款、应收是否存在压力；5）当前利润是否被渠道压货、会计调整或一次性收益美化。请按“毛利率驱动 / 费用效率 / 现金流与营运资本 / 可能红旗 / 结论”输出。
CONSUMER_4,consumer,消费公司市场关注点与催化剂,请结合联网搜索，梳理截至 {date} 市场对 {company}（{ticker}）这家消费公司的主要关注点和催化剂。重点分析：1）市场更在交易新品周期、品牌出圈、门店扩张、渠道改革、海外增长，还是利润率修复；2）最近 6 个月值得关注的财报、渠道变化、产品发布、管理层表态和回购分红；3）未来 2 到 4 个季度最重要的催化剂；4）哪些预期已经被股价和估值反映；5）若行业景气回落，最先会在哪些指标上体现。请按“当前交易逻辑 / 近期动态 / 催化剂地图 / 已定价与未定价内容 / 结论”输出。
CONSUMER_5,consumer,消费公司估值与同店/门店模型情景分析,请基于截至 {date} 的公开信息，对 {company}（{ticker}）这家消费公司进行估值拆解。要求：1）根据公司类型选择合适的估值框架，如 PE、EV/EBITDA、FCF Yield 或分部估值；2）把估值与同店增速、门店净新增、单店效率、毛利率和费用率变化联系起来；3）构建保守 / 基准 / 乐观三种情景；4）判断公司当前估值是在交易品牌溢价、成长溢价还是周期修复；5）指出向上和向下重估的关键条件。请按“估值方法 / 关键经营假设 / 三种情景 / 重估条件 / 结论”输出。
CONSUMER_6,consumer,消费公司渠道调研式验证清单,请为 {company}（{ticker}）这家消费公司生成一份偏一线渠道调研思维的验证清单，基于截至 {date} 的公开信息，列出最值得持续跟踪的 10 个信号。要求覆盖：终端动销、价格带、折扣力度、门店拓展、爆品持续性、复购、经销商态度、库存、竞争对手动作和海外复制情况。每个信号说明：看什么、为什么重要、超预期和低于预期分别意味着什么。请按表格化思路输出。
SEMI_1,semiconductor,半导体产品路线、客户与技术壁垒,请基于截至 {date} 的公开信息，分析 {company}（{ticker}）作为半导体公司的产品路线、客户结构与技术壁垒。重点回答：1）公司处于设计、制造、设备、材料、IP、封测还是分销环节；2）核心产品的性能、工艺节点、良率、功耗、成本优势在哪里；3）客户集中度、终端市场暴露、设计赢单与替换周期如何；4）护城河来自专利、制程、客户验证周期、生态绑定、供应链控制还是规模；5）未来 2 到 3 年最关键的产品或平台切换是什么。请按“产业链位置 / 核心产品 / 客户与终端暴露 / 技术壁垒 / 关键观察”输出。
SEMI_2,semiconductor,半导体供需周期与库存分析,请基于截至 {date} 的公开信息，分析 {company}（{ticker}）所处半导体赛道的供需周期与库存状态。重点关注：1）行业是处于补库存、去库存、景气上行还是下行阶段；2）公司自身库存、渠道库存、客户库存是否健康；3）ASP、产能利用率、交期、资本开支、订单能见度如何变化；4）收入增长是由真实需求、库存回补还是供给受限驱动；5）周期转折最早会在哪些指标上体现。请按“行业周期 / 公司库存与订单 / 价格与产能 / 周期拐点信号 / 结论”输出。
SEMI_3,semiconductor,半导体利润率、资本开支与现金回报,请作为重视资本回报的研究员，分析 {company}（{ticker}）这家半导体公司的利润率结构、资本开支与现金回报。重点关注：1）毛利率与营业利润率的波动主要由产品结构、定价、良率、产能利用率还是折旧摊销驱动；2）资本开支的方向、强度与回报周期；3）自由现金流在景气周期中的弹性；4）资产负债表是否足以支撑下一轮投资；5）是否存在重资产扩张但回报不足的风险。请按“利润率驱动 / capex 与回报 / 现金流弹性 / 资产负债表 / 风险与结论”输出。
SEMI_4,semiconductor,半导体市场预期、订单验证与催化剂,请结合联网搜索，梳理截至 {date} 市场对 {company}（{ticker}）这家半导体公司的核心预期、订单验证线索与未来催化剂。重点分析：1）市场当前在交易 AI、汽车、工业、手机复苏、数据中心资本开支、国产替代还是周期反转；2）最近 6 个月的重要财报、产品发布、客户订单、资本开支、地缘政治或监管变化；3）未来 2 到 4 个季度最重要的订单与出货验证节点；4）哪些乐观预期可能已被充分定价；5）最可能引发预期落空的变量。请按“当前交易逻辑 / 最近动态 / 订单验证节点 / 已定价与未定价 / 结论”输出。
