id,question,prompt
1,公司本质与价值创造,你是一名偏买方风格、重视预期差与证伪的股票研究员。请基于截至 {date} 可获得的公开信息，分析 {company}（{ticker}）为什么能存在、靠什么赚钱、为什么可能持续赚钱。重点说明：1）核心产品/服务与目标客户；2）客户为何付费、公司的议价权来自哪里；3）收入、成本、利润、现金流分别由什么驱动；4）若公司有多个业务，请区分核心现金牛、高增长业务与战略投入业务；5）这家公司本质上更像哪一类资产（高增长、周期、平台、品牌、现金牛、资产重、轻资产等）。输出要求：先给判断，再给依据；明确区分“事实 / 推断 / 不确定项”；不要写成公司官网式介绍。请按“公司本质 / 客户与需求 / 盈利机制 / 关键驱动因子 / 一句话判断”五部分输出。
2,行业结构与竞争壁垒,请站在行业研究员视角，基于截至 {date} 的公开信息，分析 {company}（{ticker}）所在赛道的行业结构与竞争格局。重点回答：1）行业处于什么阶段（渗透提升、成熟整合、技术替代、周期上/下行、监管重构等）；2）行业价值链如何分配利润，谁拿走大部分经济利润；3）{company} 在价值链中的位置是否优越；4）其竞争优势来自品牌、渠道、规模、网络效应、成本优势、技术、牌照还是切换成本；5）主要竞争对手是谁，竞争格局是寡头、充分竞争还是利基市场；6）未来 3 年最大的结构性变化是什么，会强化还是削弱公司的护城河。输出要求：优先突出最关键矛盾，而不是面面俱到。请按“行业阶段 / 价值链利润分配 / 公司竞争位置 / 护城河强弱判断 / 未来结构变化 / 关键结论”输出。
3,商业模式与单位经济,请基于截至 {date} 的公开信息，深度分析 {company}（{ticker}）的商业模式与单位经济（unit economics）。要求：1）明确公司的收入模型（一次性销售、订阅、广告、抽佣、利差、项目制、授权费、耗材复购等）；2）尽可能拆解每单位收入对应的毛利、获客成本、履约成本、维持成本、复购率/留存率；3）判断增长主要来自提价、销量提升、客户数增长、ARPU 提升、产品组合改善、并购，还是汇率/周期；4）分析“增长是否赚钱”，即增长带来经营杠杆还是利润稀释；5）指出最值得跟踪的 3~5 个经营 KPI。若公开数据不足，请明确标注缺口，并给出替代观察指标。请按“收入模型 / 成本结构 / 增长来源 / 单位经济判断 / 关键 KPI”输出。
4,财务质量与会计红旗,请作为重视财务质量和会计质量的研究员，基于截至 {date} 的公开信息，分析 {company}（{ticker}）的财务质量。重点关注：1）收入增长与现金流是否匹配；2）毛利率、营业利润率、自由现金流率的变化是否可持续；3）应收、存货、预付款、合同负债、资本化支出、商誉、股份支付、递延税项中是否存在异常信号；4）公司是通过真实经营改善利润，还是通过会计口径、一次性项目、成本延后确认来美化报表；5）资产负债表是否稳健，是否存在潜在融资压力或再融资依赖。请按“利润质量 / 现金流质量 / 资产负债表风险 / 可能的会计红旗 / 仍需核实的数据点 / 总体结论”输出。
5,管理层、激励与资本配置,请基于截至 {date} 的公开信息，评估 {company}（{ticker}）管理层的质量与资本配置能力。要求：1）介绍 CEO、CFO 或核心管理层背景，但重点不是履历，而是过往决策质量；2）评估管理层是否具备清晰战略、执行力与可信度；3）分析资本配置记录：回购、分红、并购、减债、扩产、研发投入、出售资产等是否创造股东价值；4）关注激励机制：薪酬、股权激励、业绩目标是否与长期股东利益一致；5）识别常见问题：过度乐观指引、频繁并购、盲目扩张、忽视现金流、回购时点差、治理争议等。请按“管理层画像 / 资本配置记录 / 激励一致性 / 治理风险 / 结论”输出。
6,市场关注点与隐含预期,请结合联网搜索，分析截至 {date} 市场到底在交易 {company}（{ticker}）的什么叙事。要求：1）总结最近 3~6 个月市场最关注的 3 个问题；2）结合股价表现、估值水平、财报后反应、管理层指引和主流媒体/卖方观点，判断哪些乐观或悲观预期可能已被定价；3）分析市场当前更担心增长、利润率、现金流、竞争、监管还是估值；4）提炼“市场隐含预期”：公司需要交出怎样的业绩，才能证明当前估值合理；5）指出最容易引发预期修正的变量。输出时请区分“当前交易逻辑 / 市场已定价内容 / 市场未充分定价内容 / 隐含预期 / 预期差机会”。
7,近期动态与催化剂地图,请结合联网搜索，梳理 {company}（{ticker}）在 {date} 前后最近 6 个月最值得关注的动态，并构建未来 2~4 个季度的催化剂地图。要求：1）按时间倒序列出关键事件；2）区分已发生事件、待验证事件、潜在催化剂；3）催化剂分为业绩型、产品型、行业型、政策监管型、资本配置型、管理层型；4）每个催化剂说明触发条件、对收入/利润/估值的可能影响，以及市场预期高低；5）判断哪些催化剂属于“高概率但低弹性”，哪些属于“低概率但高弹性”；6）最后给出时间轴总结。
8,反方研究备忘录,请你故意从空头/怀疑者角度，基于截至 {date} 的公开信息，写一份 {company}（{ticker}）的反方研究备忘录。要求：1）不要重复泛泛的风险提示，而要找出最可能导致投资逻辑失效的根本性问题；2）重点挑战公司的护城河、增长持续性、利润率可持续性、资本配置与估值合理性；3）说明哪些“看起来很好”的指标可能存在误导；4）列出 3 个最可能让多头犯错的认知陷阱；5）总结在什么情景下，这家公司可能被市场显著重估下行。请按“核心反方观点 / 支撑证据 / 多头常见误判 / 失效触发条件 / 空头总结”输出。
9,多头研究备忘录,请从多头视角，基于截至 {date} 的公开信息，分析 {company}（{ticker}）未来 1~3 年价值提升最可能来自哪里。要求：1）多头逻辑不能只说‘行业空间大、公司优秀’，而要说明未来价值提升最可能来自哪些变量；2）指出增长、利润率、现金流、资本配置、份额提升、产品升级等哪几个变量最关键；3）说明为何市场可能低估了这些变量；4）对每条多头逻辑给出对应的可验证指标；5）最后总结：真正成立的多头 thesis 需要满足哪些前提。请按“多头核心论点 / 被低估的变量 / 验证指标 / 前提条件 / 总结”输出。
10,估值拆解与情景分析,请基于截至 {date} 的公开信息，对 {company}（{ticker}）进行估值拆解与情景分析。要求：1）根据公司类型选择合适估值框架（PE、EV/EBITDA、EV/Sales、FCF Yield、SOTP、PB、股息折现、重置成本等）；2）不要只给静态倍数，要解释市场为什么给这个倍数；3）构建保守/基准/乐观三种情景，分别假设收入增速、利润率、自由现金流率、估值倍数；4）解释估值上行和下行最敏感的变量是什么；5）若公司当前估值看似不低，也要分析‘贵得有没有道理’。请按“估值方法选择 / 当前估值含义 / 三种情景推演 / 敏感变量 / 估值结论”输出，并明确这不是投资建议。
11,后续跟踪清单,请基于截至 {date} 的公开信息，为 {company}（{ticker}）生成一份可执行的后续跟踪清单。要求：1）分为季度跟踪、月度跟踪、事件驱动跟踪三类；2）每个跟踪项说明看什么、为什么重要、若数据超预期/低于预期意味着什么；3）优先给出能够最快验证投资逻辑的前瞻指标，而不是滞后财务指标；4）尽可能给出公开可获得的数据来源方向；5）最后生成一份‘最小跟踪面板’，只保留最重要的 8~12 个指标。输出请尽量表格化。
12,综合投资备忘录,请综合截至 {date} 的公开信息与联网搜索，对 {company}（{ticker}）输出一份偏买方风格的投资备忘录。必须包含：1）一句话公司判断；2）公司质地；3）行业与竞争位置；4）当前市场关注点；5）多头逻辑；6）空头逻辑；7）市场隐含预期与预期差；8）最关键的 3 个验证问题；9）未来 2~4 个季度催化剂；10）哪些证据会证明当前判断错了；11）初步结论。输出要求：先给判断，再给支撑；明确区分事实、推断与不确定项；若公开信息不足，请直接指出，不要脑补；结论不要使用绝对化措辞，并明确这不是投资建议。
